Taxon,,Age,thermy_3_cat,thermy_training,Mass_g,adj_corr_MR
Diplodocid,,Fossil,unknown,oth,56000000,4.7162
Rhamphorhynchoid,,Fossil,unknown,oth,2000,3.726041868
Hesperornis,,Fossil,presumed endotherm,endo,24000,3.715815559
Pachycephalosaur,,Fossil,unknown,oth,370000,3.646295233
Allosaurus,,Fossil,unknown,oth,3500000,3.645131453
Deinonychus,,Fossil,unknown,oth,100000,3.54864459
Brontothere,,Fossil,presumed endotherm,endo,800000,3.495428253
Nodosaurus,,Fossil,unknown,oth,4800000,3.489342908
Telmatornis,,Fossil,presumed endotherm,endo,15000,3.487115258
Saniwa,,Fossil,presumed ectotherm,ecto,1000,3.333310585
Marsupial,,Fossil,known endotherm,endo,15000,3.328723221
Insectivore,,Fossil,known endotherm,endo,500,3.320373366
Cetacean,,Fossil,known endotherm,endo,5000000,3.31728635
Tyrannosaurus,,Fossil,unknown,oth,7700000,3.282852178
Dryosaurus,,Fossil,unknown,oth,90000,3.130953465
Pteranodon,,Fossil,unknown,oth,20000,2.966149693
Polyglyphanodon,,Fossil,presumed ectotherm,ecto,500,2.911332449
Odaxosaurus,,Fossil,presumed ectotherm,ecto,1000,2.870340194
Plesiosaur,,Fossil,unknown,oth,3000000,2.826117653
Melanosaurus,,Fossil,unknown,oth,300,2.710908144
Crocodylomorph,,Fossil,presumed ectotherm,ecto,150000,2.634961994
Hadrosaur,,Fossil,unknown,oth,7600000,2.608015927
Xanthusiid,,Fossil,presumed ectotherm,ecto,300,2.606248679
Triceratops,,Fossil,unknown,oth,14000000,2.499882098
Edaphosaurus,,Fossil,unknown,oth,300000,2.491188142
Stegosaurus,,Fossil,unknown,oth,7000000,2.42016399
Champsosaur,,Fossil,presumed ectotherm,ecto,1000,2.407757162
Cteniogenys,,Fossil,presumed ectotherm,ecto,500,2.297071044
Palaeophis,,Fossil,presumed ectotherm,ecto,2000,2.204999336
Anseriform bird,,Fossil,known endotherm,endo,5000,2.290745
Anthrozous,,Extant,known endotherm,ecto,300,4.84107642
Aotus,,Extant,known endotherm,endo,600,3.776006317
Ara,,Extant,known endotherm,endo,1000,4.538178481
Bos,,Extant,known endotherm,endo,900000,7.895105598
Chironectes,,Extant,known endotherm,endo,400,2.945450149
Columbina,,Extant,known endotherm,endo,45,5.311215138
Crypturellus,,Extant,known endotherm,endo,220,6.184294161
Iguana,,Extant,known ectotherm,ecto,250,1.581832683
Marmosa,,Extant,known endotherm,endo,40,4.228103048
Mustela,,Extant,known endotherm,endo,250,5.456699399
Oceanodroma,,Extant,known endotherm,endo,60,4.499562928
Ochotona,,Extant,known endotherm,endo,150,4.020297932
Passer,,Extant,known endotherm,endo,35,4.12729833
Platypus,,Extant,known endotherm,endo,1000,3.711091971
Puma,,Extant,known endotherm,endo,100000,5.847689244
Rattus,,Extant,known endotherm,endo,230,4.909223583
Spheniscus,,Extant,known endotherm,endo,4000,4.202780502
Tachyglossus,,Extant,known endotherm,meso,3500,3.271901337
Tenrec,,Extant,known endotherm,endo,100,4.09615581
Topaza,,Extant,known endotherm,endo,20,7.566945635
Agama,,Extant,known ectotherm,ecto,300,3.126604697
Furcifer,,Extant,known ectotherm,ecto,200,0.984466546
Varanus,,Extant,known ectotherm,ecto,600,5.01615103
Gavialis,,Extant,known ectotherm,ecto,10000,2.236544931
