Taxon Name,Tissue Type,511,529,575,629,661,777,841,878,913,1009,1033,1182,1230,1278,1350,1408,1453,1489,1554,1576,1587,1684,1704,1777
Champsosaur,Bone,0.2886,0.2878,0.308,0.2504,0.2782,0.1407,0.1179,0.205,0.2124,0.2095,0.244,0.295,0.293,0.3976,0.3306,0.4073,0.4474,0.4172,0.4798,0.536,0.5713,0.3029,0.3393,0.3906
Hadrosaur,Bone,0.291,0.3175,0.3695,0.3113,0.3444,0.2101,0.1403,0.2007,0.1866,0.2393,0.2707,0.1973,0.1708,0.277,0.2584,0.3491,0.4393,0.3792,0.4399,0.4996,0.4784,0.2559,0.2986,0.3512
Pteranodon,Bone,0.9319,0.7944,0.7931,0.788,0.9475,0.4255,0.2254,0.3623,0.3444,0.5648,0.6632,0.3425,0.1913,0.2403,0.2851,0.5455,0.6982,0.5834,0.5265,0.5826,0.5994,0.3804,0.3923,0.468
Nodosaur,Bone,0.5828,0.6172,0.6892,0.7572,0.8663,0.2864,0.05031,0.1345,0.08966,0.1624,0.1901,0.1088,0.04539,0.1384,0.1277,0.402,0.4985,0.4211,0.3039,0.3087,0.2913,0.1968,0.2384,0.3045
Pachycephalosaur,Bone,0.6578,0.6938,0.7693,0.8481,0.9787,0.3017,0.04326,0.128,0.0784,0.1702,0.2204,0.1214,0.04669,0.1781,0.1757,0.4876,0.6074,0.5493,0.3653,0.365,0.3577,0.2063,0.2499,0.3564
Palaeophis,Bone,0.1269,0.1397,0.2844,0.1722,0.2222,0.07421,0.0876,0.06808,0.1539,0.1555,0.1496,0.1018,0.09709,0.1279,0.1265,0.1563,0.1619,0.1608,0.1461,0.1353,0.1458,0.1613,0.1664,0.1759
Odaxosaurus ,Bone,0.3303,0.336,0.5133,0.3788,0.4875,0.2021,0.08623,0.132,0.2418,0.2111,0.1886,0.1722,0.1253,0.1844,0.1408,0.2371,0.2513,0.2386,0.1918,0.1692,0.1345,0.1588,0.1851,0.1833
Polyglyphanodon,Bone,0.561,0.5625,0.6499,0.6106,0.6867,0.3165,0.1948,0.2649,0.2517,0.3202,0.3554,0.2586,0.2121,0.3797,0.3555,0.5196,0.583,0.545,0.6515,0.7755,0.7749,0.3698,0.4026,0.5102
Hesperornis ,Bone,0.5994,0.6269,0.7124,0.8152,0.9776,0.3488,0.07149,0.122,0.07994,0.08387,0.1039,0.1784,0.1581,0.2417,0.1821,0.3722,0.4274,0.3447,0.2662,0.2907,0.2743,0.1888,0.213,0.2518
Saniwa ,Bone,0.5886,0.6387,0.703,0.7659,0.9801,0.3447,0.1096,0.2005,0.1676,0.1572,0.1647,0.1512,0.1565,0.25,0.1887,0.3101,0.3651,0.2847,0.3076,0.4011,0.3826,0.2405,0.2798,0.3276
Diplodocid,Bone,0.2965,0.326,0.4301,0.3695,0.4197,0.1272,0.07148,0.1544,0.1691,0.1945,0.2771,0.07625,0.08931,0.3315,0.2867,0.3877,0.3936,0.3565,0.5173,0.6188,0.6267,0.1134,0.197,0.2604
Telmatornis ,Bone,0.6052,0.6739,0.7448,0.8297,0.9855,0.3694,0.1625,0.2336,0.2168,0.196,0.2152,0.2816,0.2809,0.3921,0.3239,0.4015,0.3973,0.3112,0.4118,0.5104,0.5057,0.2651,0.3002,0.3688
Triceratops ,Bone,0.3248,0.3137,0.4143,0.3643,0.384,0.1699,0.09878,0.1686,0.1944,0.2073,0.2117,0.1449,0.1517,0.2408,0.2416,0.3493,0.3695,0.3788,0.3919,0.4356,0.4503,0.2809,0.292,0.3523
Tyrannosaurus,Bone,0.7097,0.7315,0.8091,0.8482,0.9849,0.3691,0.1265,0.2548,0.2079,0.2631,0.3064,0.2606,0.1427,0.2908,0.2134,0.5578,0.7231,0.6524,0.5524,0.5784,0.5652,0.2904,0.3413,0.4225
Xanthusiid ,Bone,0.3557,0.3806,0.4438,0.4716,0.5648,0.2162,0.04844,0.09727,0.09796,0.1335,0.1895,0.1075,0.08546,0.128,0.1159,0.1816,0.2351,0.252,0.1201,0.142,0.1337,0.2125,0.2277,0.3193
Brontothere ,Bone,0.8101,0.8535,0.9825,0.8918,0.9519,0.3394,0.1105,0.2665,0.1754,0.1813,0.2636,0.3134,0.2608,0.435,0.3983,0.6469,0.7389,0.7719,0.7856,0.8811,0.8508,0.2984,0.3887,0.3885
Cetacean ,Bone,0.2812,0.2799,0.3788,0.3605,0.3833,0.1904,0.09527,0.1353,0.1827,0.1686,0.1797,0.08396,0.07914,0.1235,0.1174,0.1545,0.1681,0.1407,0.1468,0.1599,0.1495,0.1103,0.1348,0.1267
Insectivore ,Bone,0.7523,0.7687,0.8413,0.8893,0.9929,0.3479,0.06464,0.1883,0.1335,0.2428,0.2653,0.1676,0.06939,0.2234,0.1834,0.5214,0.6361,0.5669,0.4381,0.468,0.464,0.258,0.3077,0.4237
Marsupial ,Bone,0.5266,0.52,0.5803,0.5986,0.6383,0.2495,0.1628,0.2296,0.2154,0.2502,0.285,0.348,0.3422,0.5151,0.4504,0.5562,0.626,0.6012,0.773,0.9079,0.9136,0.2872,0.3322,0.4189
Allosaurus ,Bone,0.3067,0.3116,0.4141,0.4479,0.5244,0.2656,0.1459,0.1999,0.1797,0.1896,0.1677,0.2221,0.2488,0.3534,0.3161,0.2062,0.1655,0.1975,0.413,0.5577,0.6314,0.1751,0.1874,0.1555
Anseriform Bird,Bone,0.5329,0.6032,0.7572,0.7884,0.9798,0.2289,0.04793,0.1452,0.1827,0.2032,0.1795,0.2203,0.2502,0.4636,0.4912,0.5993,0.5682,0.4742,0.5039,0.6539,0.6784,0.1439,0.2519,0.3629
Rhamphorhynchoid,Bone,0.5192,0.5019,0.6101,0.5546,0.6057,0.2379,0.1394,0.2249,0.2009,0.3066,0.3498,0.2326,0.2306,0.3906,0.4839,0.5542,0.5543,0.5534,0.6828,0.8262,0.8634,0.2208,0.2247,0.3715
Cteniogenys ,Bone,0.3866,0.3737,0.3648,0.262,0.2618,0.2075,0.1704,0.3121,0.3051,0.332,0.3183,0.2577,0.2247,0.3904,0.3748,0.6177,0.7327,0.6842,0.6243,0.6303,0.6432,0.3789,0.4558,0.5452
Deinonychus,Bone,0.6697,0.7112,0.7757,0.7415,0.7918,0.2934,0.171,0.2374,0.2636,0.2932,0.3787,0.2534,0.1703,0.357,0.3634,0.5495,0.5825,0.5821,0.6327,0.7209,0.7287,0.2298,0.2861,0.3853
Dryosaurus ,Bone,0.6662,0.6955,0.7948,0.7473,0.7365,0.2635,0.1679,0.2832,0.2849,0.3281,0.3383,0.3015,0.2023,0.4812,0.5029,0.6199,0.6767,0.615,0.7175,0.9295,0.9054,0.3475,0.3458,0.4145
Edaphosaurus ,Bone,0.4948,0.5164,0.5047,0.4662,0.4723,0.1776,0.1149,0.2047,0.2027,0.2243,0.2494,0.1714,0.1252,0.2038,0.2049,0.4625,0.5396,0.5051,0.3983,0.4157,0.3753,0.2895,0.3521,0.3637
